Sleep Stage,MeanP_Alpha_F4,MeanP_Beta_F4,MeanP_Theta_F4,MeanP_Delta_F4,MeanP_Gamma_F4,MeanP_Alpha_C4,MeanP_Beta_C4,MeanP_Theta_C4,MeanP_Delta_C4,MeanP_Gamma_C4,MeanP_Alpha_O2,MeanP_Beta_O2,MeanP_Theta_O2,MeanP_Delta_O2,MeanP_Gamma_O2,Total_P_F4,Total_P_C4,Total_P_O2,Relative_MeanP_Alpha_F4,Relative_MeanP_Beta_F4,Relative_MeanP_Theta_F4,Relative_MeanP_Delta_F4,Relative_MeanP_Gamma_F4,Relative_MeanP_Alpha_C4,Relative_MeanP_Beta_C4,Relative_MeanP_Theta_C4,Relative_MeanP_Delta_C4,Relative_MeanP_Gamma_C4,Relative_MeanP_Alpha_O2,Relative_MeanP_Beta_O2,Relative_MeanP_Theta_O2,Relative_MeanP_Delta_O2,Relative_MeanP_Gamma_O2,Relative_MeanP_Alpha_G,Relative_MeanP_Beta_G,Relative_MeanP_Theta_G,Relative_MeanP_Delta_G,Relative_MeanP_Gamma_G,DAR_F4,DAR_C4,DAR_O2,DAR_G,DTR_F4,DTR_O2,DTABR_F4,DTABR_C4,DTABR_O2,DTABR_G,P_G
N2,0.00122,0.00075,0.00236,0.0109,5.65e-05,0.00096,0.00061,0.00192,0.00892,5.09e-05,0.00039,0.0003,0.00076,0.00349,4.16e-05,0.0153,0.0125,0.00498,0.0797,0.049,0.154,0.714,0.00369,0.077,0.049,0.154,0.716,0.00408,0.0783,0.0602,0.153,0.701,0.00835,0.235,0.158,0.461,2.13,0.0161,8.96,9.29,8.95,9.07,4.63,4.59,6.75,6.9,6.16,6.6,0.0109
N2,0.00067,0.00042,0.00167,0.00813,4.31e-05,0.00058,0.00037,0.00155,0.00611,3.97e-05,0.00027,0.0002,0.00054,0.00223,3.46e-05,0.0109,0.00865,0.00327,0.0613,0.0384,0.153,0.744,0.00394,0.0671,0.0428,0.179,0.706,0.00459,0.0825,0.0611,0.165,0.681,0.0106,0.211,0.142,0.497,2.13,0.0191,12.1,10.5,8.26,10.3,4.87,4.13,8.99,8.06,5.89,7.65,0.00762
N2,0.0007,0.00047,0.00165,0.0111,4.55e-05,0.00063,0.0004,0.00175,0.0115,4.06e-05,0.00024,0.00018,0.00058,0.0048,3.36e-05,0.0139,0.0143,0.00583,0.0502,0.0337,0.118,0.794,0.00327,0.0439,0.0279,0.122,0.803,0.00283,0.0411,0.0309,0.0994,0.823,0.00576,0.135,0.0925,0.34,2.42,0.0119,15.8,18.3,20.0,18.0,6.71,8.28,10.9,12.9,12.8,12.2,0.0114
N2,0.0011,0.00071,0.00197,0.0126,6.14e-05,0.00092,0.00064,0.00188,0.0101,5.38e-05,0.00035,0.00025,0.00071,0.00527,3.64e-05,0.0164,0.0136,0.00662,0.0669,0.0432,0.12,0.766,0.00374,0.0677,0.0471,0.138,0.743,0.00396,0.0529,0.0378,0.107,0.797,0.0055,0.188,0.128,0.366,2.31,0.0132,11.4,11.0,15.1,12.5,6.39,7.42,8.04,7.67,9.97,8.56,0.0122
N2,0.0008,0.00051,0.00152,0.0152,4.77e-05,0.00059,0.0004,0.00124,0.0105,4.33e-05,0.00029,0.00021,0.0006,0.00255,3.6e-05,0.0181,0.0128,0.00369,0.0442,0.0282,0.084,0.841,0.00264,0.0462,0.0313,0.097,0.822,0.00339,0.0787,0.057,0.163,0.692,0.00977,0.169,0.116,0.344,2.35,0.0158,19.0,17.8,8.79,15.2,10.0,4.25,12.8,11.9,6.3,10.3,0.0115
N2,0.00071,0.00045,0.0015,0.00973,4.52e-05,0.00058,0.00038,0.0014,0.00736,4.04e-05,0.0003,0.00022,0.00057,0.00254,3.64e-05,0.0124,0.00976,0.00367,0.0571,0.0362,0.121,0.782,0.00363,0.0594,0.0389,0.143,0.754,0.00414,0.0818,0.06,0.155,0.693,0.00993,0.198,0.135,0.42,2.23,0.0177,13.7,12.7,8.47,11.6,6.49,4.46,9.68,9.13,5.98,8.26,0.00862
N2,0.00063,0.00043,0.0014,0.00669,4.56e-05,0.00054,0.00036,0.00139,0.00658,4.01e-05,0.00025,0.0002,0.00053,0.00198,3.56e-05,0.0092,0.00891,0.003,0.0685,0.0468,0.152,0.728,0.00496,0.0606,0.0404,0.156,0.738,0.0045,0.0835,0.0668,0.177,0.661,0.0119,0.213,0.154,0.485,2.13,0.0213,10.6,12.2,7.92,10.2,4.78,3.74,7.63,8.86,5.58,7.36,0.00703
N2,0.00097,0.00057,0.00228,0.0146,5.16e-05,0.00079,0.00051,0.00209,0.0115,4.96e-05,0.00028,0.00022,0.00069,0.00358,4.09e-05,0.0185,0.0149,0.00481,0.0524,0.0308,0.123,0.791,0.00279,0.0531,0.0343,0.14,0.769,0.00333,0.0582,0.0457,0.143,0.744,0.0085,0.164,0.111,0.407,2.3,0.0146,15.1,14.5,12.8,14.1,6.42,5.19,11.0,10.4,8.54,9.98,0.0127
N2,0.00086,0.00056,0.00171,0.00856,5.57e-05,0.0007,0.00047,0.00149,0.00691,5.2e-05,0.00034,0.00026,0.00067,0.00264,4.45e-05,0.0117,0.00962,0.00395,0.0732,0.0477,0.146,0.729,0.00474,0.0727,0.0488,0.155,0.718,0.0054,0.086,0.0657,0.169,0.668,0.0113,0.232,0.162,0.47,2.11,0.0214,9.95,9.87,7.76,9.2,5.01,3.94,7.23,7.18,5.52,6.64,0.00844
N2,0.00063,0.00045,0.0012,0.00632,5.22e-05,0.00059,0.00039,0.00157,0.00773,4.75e-05,0.00024,0.00023,0.00044,0.0024,4.52e-05,0.00865,0.0103,0.00336,0.0728,0.052,0.139,0.73,0.00603,0.0571,0.0378,0.152,0.748,0.0046,0.0715,0.0686,0.131,0.715,0.0135,0.201,0.158,0.422,2.19,0.0241,10.0,13.1,10.0,11.0,5.27,5.45,6.96,9.49,6.04,7.5,0.00744
N1,0.001,0.00078,0.00195,0.00865,0.00015,0.00083,0.00071,0.00188,0.00748,0.00015,0.00038,0.00042,0.00078,0.00539,0.00013,0.0125,0.0111,0.0071,0.0798,0.0623,0.156,0.69,0.012,0.0751,0.0643,0.17,0.677,0.0136,0.0535,0.0592,0.11,0.759,0.0183,0.208,0.186,0.436,2.13,0.0439,8.65,9.01,14.2,10.6,4.44,6.91,5.96,6.08,7.71,6.58,0.0102
N2,0.0007,0.00055,0.00124,0.00665,9.32e-05,0.00059,0.00048,0.00123,0.007,9.13e-05,0.00025,0.00029,0.00045,0.00196,8.34e-05,0.00923,0.00939,0.00303,0.0758,0.0596,0.134,0.72,0.0101,0.0628,0.0511,0.131,0.745,0.00972,0.0824,0.0956,0.148,0.646,0.0275,0.221,0.206,0.414,2.11,0.0473,9.5,11.9,7.84,9.73,5.36,4.36,6.31,7.69,4.46,6.16,0.00722
N2,0.00077,0.0006,0.00134,0.00706,0.00011,0.00062,0.00051,0.00131,0.00672,0.0001,0.00028,0.00032,0.00054,0.00281,9.94e-05,0.00988,0.00926,0.00405,0.0779,0.0607,0.136,0.715,0.0111,0.067,0.0551,0.141,0.726,0.0108,0.0691,0.079,0.133,0.694,0.0245,0.214,0.195,0.41,2.13,0.0465,9.17,10.8,10.0,10.0,5.27,5.2,6.13,7.11,5.58,6.27,0.00773
N2,0.00079,0.00062,0.00193,0.00982,0.00012,0.00064,0.00052,0.00179,0.0124,0.00012,0.00029,0.00035,0.00055,0.00334,0.00011,0.0133,0.0154,0.00464,0.0595,0.0467,0.145,0.739,0.00904,0.0415,0.0337,0.116,0.801,0.00778,0.0625,0.0754,0.119,0.72,0.0237,0.163,0.156,0.38,2.26,0.0405,12.4,19.3,11.5,14.4,5.09,6.07,8.33,12.2,6.08,8.87,0.0111
N2,0.00074,0.0006,0.00166,0.00994,0.00011,0.00059,0.00052,0.00143,0.00977,0.00011,0.00031,0.00035,0.00052,0.00304,0.0001,0.0131,0.0124,0.00432,0.0567,0.046,0.127,0.762,0.00843,0.0475,0.0419,0.115,0.787,0.00886,0.0718,0.081,0.12,0.704,0.0231,0.176,0.169,0.363,2.25,0.0404,13.4,16.6,9.81,13.3,5.99,5.85,8.66,10.1,5.39,8.05,0.00993
N2,0.00071,0.00056,0.00167,0.00811,0.00011,0.00066,0.00052,0.00178,0.00843,0.00011,0.0003,0.00032,0.0006,0.00232,9.72e-05,0.0112,0.0115,0.00364,0.0636,0.0502,0.15,0.727,0.00986,0.0574,0.0452,0.155,0.733,0.00957,0.0825,0.088,0.165,0.638,0.0267,0.203,0.183,0.469,2.1,0.0461,11.4,12.8,7.73,10.6,4.86,3.87,7.7,8.65,4.71,7.02,0.00877
N2,0.00072,0.00055,0.00156,0.00673,0.00011,0.00057,0.00049,0.00133,0.0059,0.00011,0.00032,0.00036,0.00058,0.00242,0.0001,0.00967,0.0084,0.00378,0.0745,0.0569,0.161,0.696,0.0114,0.0679,0.0583,0.158,0.702,0.0131,0.0847,0.0952,0.153,0.64,0.0265,0.227,0.21,0.473,2.04,0.0509,9.35,10.4,7.56,9.09,4.31,4.17,6.53,6.82,4.41,5.92,0.00728
N2,0.00083,0.00071,0.00163,0.0068,0.00013,0.00071,0.00063,0.00163,0.00563,0.00013,0.00029,0.00038,0.00062,0.00228,0.00012,0.0101,0.00873,0.00369,0.0822,0.0703,0.161,0.673,0.0129,0.0813,0.0722,0.187,0.645,0.0149,0.0786,0.103,0.168,0.618,0.0325,0.242,0.245,0.516,1.94,0.0603,8.19,7.93,7.86,7.99,4.17,3.68,5.47,5.42,4.33,5.07,0.00751
N2,0.00083,0.00068,0.00176,0.0234,0.00012,0.00075,0.00062,0.00206,0.0267,0.00012,0.00035,0.00041,0.00069,0.00473,0.00011,0.0268,0.0302,0.00629,0.0309,0.0254,0.0656,0.874,0.00447,0.0248,0.0205,0.0681,0.883,0.00397,0.0556,0.0652,0.11,0.752,0.0175,0.111,0.111,0.243,2.51,0.0259,28.2,35.6,13.5,25.8,13.3,6.86,16.7,21.0,7.13,14.9,0.0211
N2,0.00072,0.0006,0.00156,0.0159,0.00011,0.00059,0.00054,0.00129,0.0124,0.00011,0.00031,0.00037,0.00056,0.00546,0.0001,0.0189,0.015,0.0068,0.0381,0.0317,0.0825,0.842,0.00582,0.0395,0.0361,0.0863,0.831,0.00736,0.0456,0.0544,0.0824,0.803,0.0147,0.123,0.122,0.251,2.48,0.0279,22.1,21.1,17.6,20.3,10.2,9.75,13.2,12.1,8.85,11.4,0.0136
N1,0.00175,0.00237,0.00389,0.198,0.00097,0.00122,0.00208,0.00296,0.22,0.00095,0.0014,0.00181,0.00541,0.402,0.0008,0.207,0.227,0.411,0.00845,0.0114,0.0188,0.957,0.00468,0.00537,0.00915,0.013,0.968,0.00418,0.0034,0.0044,0.0132,0.977,0.00194,0.0172,0.025,0.045,2.9,0.0108,113.0,180.0,287.0,194.0,50.9,74.3,49.0,67.6,127.0,81.2,0.282
N2,0.00059,0.00046,0.00148,0.00988,7.17e-05,0.00059,0.00043,0.00194,0.00973,6.75e-05,0.00028,0.00027,0.00055,0.00195,6.23e-05,0.0125,0.0128,0.00311,0.0473,0.0369,0.119,0.792,0.00574,0.0462,0.0337,0.152,0.763,0.00529,0.09,0.0868,0.177,0.627,0.02,0.183,0.157,0.447,2.18,0.0311,16.7,16.5,6.96,13.4,6.68,3.55,10.8,11.4,4.55,8.94,0.00945
N2,0.00073,0.00053,0.00153,0.00994,9.56e-05,0.00062,0.00048,0.00146,0.00822,9.24e-05,0.00031,0.00032,0.00054,0.00316,8.63e-05,0.0128,0.0109,0.00442,0.0569,0.0413,0.119,0.775,0.00745,0.057,0.0441,0.134,0.756,0.0085,0.0702,0.0725,0.122,0.716,0.0195,0.184,0.158,0.376,2.25,0.0355,13.6,13.3,10.2,12.4,6.5,5.85,9.1,8.8,5.87,7.93,0.00937
N2,0.00072,0.00055,0.00168,0.00858,9.65e-05,0.00067,0.00052,0.00194,0.0119,9.22e-05,0.00031,0.0003,0.00062,0.00334,8.19e-05,0.0116,0.0151,0.00465,0.0619,0.0473,0.144,0.738,0.0083,0.0443,0.0344,0.128,0.787,0.00609,0.0666,0.0645,0.133,0.718,0.0176,0.173,0.146,0.406,2.24,0.032,11.9,17.8,10.8,13.5,5.11,5.39,8.08,11.6,6.49,8.74,0.0105
N2,0.00073,0.00058,0.00154,0.0086,0.00011,0.00061,0.00051,0.00145,0.00749,0.00011,0.0003,0.00034,0.00055,0.00282,9.87e-05,0.0116,0.0102,0.00411,0.0631,0.0502,0.133,0.744,0.00952,0.06,0.0501,0.143,0.736,0.0108,0.073,0.0828,0.134,0.686,0.024,0.196,0.183,0.41,2.17,0.0444,11.8,12.3,9.4,11.2,5.58,5.13,7.74,7.98,5.27,7.0,0.00861
N2,0.00083,0.00058,0.00199,0.0114,9.85e-05,0.00075,0.00053,0.00207,0.0116,9.58e-05,0.00031,0.00034,0.00062,0.00534,8.89e-05,0.0149,0.0151,0.0067,0.0557,0.0389,0.133,0.765,0.00661,0.0498,0.0352,0.137,0.771,0.00636,0.0463,0.0508,0.0926,0.797,0.0133,0.152,0.125,0.364,2.33,0.0262,13.7,15.5,17.2,15.5,5.73,8.61,9.5,10.7,9.17,9.79,0.0122
N2,0.00063,0.00052,0.00133,0.00756,0.00011,0.00053,0.00048,0.00123,0.00646,0.00011,0.0003,0.00034,0.00053,0.00313,9.71e-05,0.0102,0.00881,0.0044,0.0621,0.0512,0.131,0.745,0.0108,0.0602,0.0545,0.14,0.733,0.0125,0.0682,0.0773,0.121,0.712,0.0221,0.19,0.183,0.391,2.19,0.0454,12.0,12.2,10.4,11.5,5.68,5.91,7.73,7.61,5.72,7.02,0.00779
N2,0.00111,0.00104,0.00235,0.0305,0.0003,0.00095,0.00084,0.00202,0.0228,0.0002,0.00045,0.00057,0.0009,0.018,0.00016,0.0353,0.0268,0.0201,0.0315,0.0295,0.0666,0.864,0.0085,0.0354,0.0313,0.0753,0.851,0.00745,0.0224,0.0284,0.0448,0.897,0.00796,0.0893,0.0891,0.187,2.61,0.0239,27.5,24.0,40.0,30.5,13.0,20.0,15.3,13.9,18.5,15.9,0.0274
N2,0.00113,0.00077,0.00222,0.0187,9.46e-05,0.00085,0.00066,0.00169,0.0134,8.79e-05,0.00034,0.00033,0.00068,0.00653,7.11e-05,0.0229,0.0167,0.00795,0.0493,0.0336,0.0969,0.816,0.00413,0.051,0.0396,0.101,0.803,0.00527,0.0428,0.0415,0.0855,0.821,0.00894,0.143,0.115,0.284,2.44,0.0183,16.5,15.8,19.2,17.2,8.42,9.6,11.0,9.99,10.8,10.6,0.0158
N2,0.00074,0.0007,0.00135,0.0193,0.00016,0.00055,0.00056,0.00106,0.0158,0.00013,0.00038,0.00039,0.00061,0.0133,9.22e-05,0.0222,0.0181,0.0148,0.0333,0.0315,0.0607,0.867,0.00719,0.0303,0.0309,0.0584,0.873,0.00717,0.0257,0.0263,0.0412,0.901,0.00623,0.0893,0.0887,0.16,2.64,0.0206,26.1,28.8,35.1,30.0,14.3,21.9,14.3,15.2,18.1,15.9,0.0184
N1,0.001,0.00113,0.00155,0.109,0.0003,0.00077,0.00087,0.00126,0.102,0.00021,0.0203,0.0102,0.0343,0.422,0.00077,0.113,0.105,0.487,0.00885,0.01,0.0137,0.965,0.00266,0.00734,0.00829,0.012,0.97,0.002,0.0416,0.0209,0.0703,0.866,0.00158,0.0578,0.0392,0.096,2.8,0.00624,109.0,132.0,20.8,87.3,70.3,12.3,51.9,62.8,15.0,43.2,0.235
N2,0.00103,0.00072,0.00227,0.0207,8.4e-05,0.0009,0.00065,0.00245,0.0212,8.36e-05,0.0004,0.00033,0.00093,0.00657,7.24e-05,0.0248,0.0253,0.0083,0.0415,0.029,0.0914,0.835,0.00338,0.0356,0.0257,0.097,0.838,0.00331,0.0482,0.0397,0.112,0.791,0.00872,0.125,0.0945,0.3,2.46,0.0154,20.1,23.5,16.4,20.0,9.14,7.06,13.1,15.2,10.3,12.9,0.0195
N1,0.00107,0.00114,0.00321,0.242,0.00032,0.00092,0.00096,0.00296,0.244,0.00024,0.00099,0.00092,0.00362,0.313,0.00025,0.248,0.25,0.319,0.00431,0.00459,0.0129,0.977,0.00129,0.00369,0.00385,0.0119,0.98,0.000962,0.0031,0.00288,0.0113,0.982,0.000784,0.0111,0.0113,0.0361,2.94,0.00303,227.0,266.0,316.0,270.0,75.5,86.5,111.0,132.0,166.0,136.0,0.272
N1,0.0011,0.00111,0.00291,0.309,0.00028,0.00103,0.00106,0.00311,0.305,0.00026,0.00223,0.00135,0.00953,0.535,0.00027,0.314,0.31,0.548,0.0035,0.00353,0.00925,0.983,0.00089,0.00332,0.00342,0.01,0.982,0.000838,0.00407,0.00246,0.0174,0.976,0.000492,0.0109,0.00941,0.0367,2.94,0.00222,281.0,296.0,240.0,272.0,106.0,56.1,141.0,147.0,152.0,147.0,0.391
N2,0.00071,0.00053,0.00133,0.00809,6.11e-05,0.00056,0.00045,0.00108,0.00531,5.73e-05,0.0003,0.00026,0.00052,0.00233,4.73e-05,0.0107,0.00746,0.00346,0.0662,0.0494,0.124,0.755,0.0057,0.0751,0.0603,0.145,0.712,0.00768,0.0868,0.0752,0.15,0.674,0.0137,0.228,0.185,0.419,2.14,0.0271,11.4,9.48,7.77,9.55,6.08,4.48,7.6,6.33,5.09,6.34,0.00721
N2,0.00071,0.00047,0.00182,0.0104,5.41e-05,0.00062,0.00042,0.00177,0.00917,4.95e-05,0.00026,0.00022,0.00053,0.00317,4.38e-05,0.0135,0.012,0.00422,0.0528,0.0349,0.135,0.773,0.00402,0.0515,0.0349,0.147,0.762,0.00411,0.0616,0.0521,0.125,0.751,0.0104,0.166,0.122,0.408,2.29,0.0185,14.6,14.8,12.2,13.9,5.71,5.98,10.4,10.5,7.71,9.53,0.0099
N2,0.00076,0.00044,0.00195,0.0179,3.94e-05,0.00065,0.00039,0.00186,0.016,3.69e-05,0.00028,0.00021,0.0006,0.00393,3.27e-05,0.0211,0.019,0.00505,0.0361,0.0209,0.0926,0.849,0.00187,0.0343,0.0206,0.098,0.845,0.00194,0.0554,0.0416,0.119,0.778,0.00647,0.126,0.083,0.309,2.47,0.0103,23.5,24.7,14.0,20.7,9.16,6.55,16.5,17.2,9.24,14.3,0.015
N2,0.0007,0.00048,0.00158,0.00758,5.54e-05,0.00068,0.00043,0.00186,0.00702,5.08e-05,0.00026,0.00023,0.00048,0.00227,4.36e-05,0.0104,0.01,0.00328,0.0673,0.0462,0.152,0.729,0.00533,0.0677,0.0428,0.185,0.699,0.00506,0.0792,0.07,0.146,0.691,0.0133,0.214,0.159,0.483,2.12,0.0237,10.8,10.3,8.73,9.96,4.8,4.73,7.76,8.0,5.61,7.12,0.00791
R,0.00074,0.00051,0.00134,0.00397,3.47e-05,0.0007,0.00047,0.00147,0.00444,3.03e-05,0.0003,0.00027,0.00043,0.00183,2.46e-05,0.00659,0.00711,0.00285,0.112,0.0773,0.203,0.602,0.00526,0.0984,0.0661,0.207,0.624,0.00426,0.105,0.0946,0.151,0.641,0.00862,0.316,0.238,0.561,1.87,0.0181,5.36,6.34,6.1,5.94,2.96,4.26,4.25,5.05,3.96,4.42,0.00552
N1,0.00086,0.00056,0.0027,0.406,5.37e-05,0.00075,0.0005,0.00264,0.406,5.05e-05,0.00045,0.0003,0.00214,0.407,4.12e-05,0.411,0.41,0.41,0.00209,0.00136,0.00658,0.99,0.000131,0.00183,0.00122,0.00644,0.99,0.000123,0.0011,0.000732,0.00522,0.993,0.000101,0.00502,0.00332,0.0182,2.97,0.000355,473.0,541.0,904.0,639.0,151.0,190.0,288.0,327.0,546.0,387.0,0.41
R,0.00058,0.00042,0.00087,0.00181,3.63e-05,0.0005,0.00036,0.00081,0.00183,2.91e-05,0.00021,0.00019,0.00025,0.00105,2.23e-05,0.00372,0.00353,0.00172,0.156,0.113,0.234,0.487,0.00977,0.142,0.102,0.23,0.519,0.00825,0.122,0.11,0.145,0.61,0.0129,0.42,0.325,0.609,1.62,0.031,3.12,3.66,5.0,3.93,2.08,4.2,2.68,3.07,3.25,3.0,0.00299
R,0.0005,0.00036,0.00082,0.0019,3.53e-05,0.00041,0.0003,0.00076,0.00205,2.95e-05,0.0002,0.00019,0.00023,0.00094,2.44e-05,0.00362,0.00355,0.00158,0.138,0.0996,0.227,0.526,0.00976,0.116,0.0845,0.214,0.578,0.00831,0.126,0.12,0.145,0.593,0.0154,0.38,0.304,0.586,1.7,0.0335,3.8,5.0,4.7,4.5,2.32,4.09,3.16,3.96,3.0,3.37,0.00292
N1,0.00123,0.00176,0.00203,0.178,0.00059,0.001,0.00142,0.00169,0.188,0.00044,0.00102,0.00159,0.00209,0.25,0.00058,0.183,0.193,0.255,0.0067,0.00959,0.0111,0.969,0.00322,0.00518,0.00736,0.00876,0.976,0.00228,0.004,0.00624,0.0082,0.979,0.00227,0.0159,0.0232,0.028,2.93,0.00777,145.0,188.0,245.0,193.0,87.6,119.0,60.2,78.6,96.5,78.4,0.21
N1,0.00054,0.00044,0.00083,0.00188,5.18e-05,0.00044,0.00037,0.0007,0.0016,4.45e-05,0.00019,0.0002,0.00023,0.00086,3.58e-05,0.00374,0.00315,0.00152,0.144,0.118,0.222,0.502,0.0138,0.139,0.117,0.222,0.507,0.0141,0.125,0.132,0.152,0.567,0.0236,0.409,0.367,0.595,1.58,0.0516,3.48,3.64,4.53,3.88,2.27,3.74,2.77,2.84,2.79,2.8,0.0028
R,0.00066,0.00058,0.00096,0.0202,9.39e-05,0.00056,0.00049,0.00087,0.0188,7.57e-05,0.00048,0.00046,0.00161,0.284,9.05e-05,0.0225,0.0207,0.287,0.0293,0.0258,0.0426,0.898,0.00417,0.027,0.0236,0.0419,0.904,0.00365,0.00167,0.0016,0.00562,0.991,0.000316,0.058,0.051,0.0902,2.79,0.00814,30.6,33.5,592.0,219.0,21.1,176.0,17.1,18.7,304.0,113.0,0.11
N1,0.00049,0.00039,0.0007,0.00192,4.52e-05,0.00041,0.00033,0.00064,0.00183,3.66e-05,0.00019,0.0002,0.0002,0.00102,3.06e-05,0.00355,0.00325,0.00164,0.138,0.11,0.197,0.542,0.0127,0.126,0.102,0.197,0.564,0.0113,0.116,0.122,0.122,0.622,0.0187,0.38,0.334,0.516,1.73,0.0427,3.92,4.46,5.37,4.58,2.74,5.1,2.98,3.34,3.13,3.15,0.00281
N1,0.00071,0.00073,0.00105,0.0144,0.00017,0.00057,0.00058,0.00084,0.0148,0.00012,0.00043,0.0005,0.00064,0.0197,0.00011,0.0171,0.0169,0.0214,0.0416,0.0428,0.0615,0.844,0.00996,0.0338,0.0344,0.0498,0.875,0.00711,0.0201,0.0234,0.0299,0.921,0.00514,0.0955,0.101,0.141,2.64,0.0222,20.3,25.9,45.9,30.7,13.7,30.8,10.7,13.6,21.9,15.4,0.0184
N1,0.00052,0.00044,0.00081,0.00208,5.74e-05,0.00044,0.00039,0.0007,0.00188,5.18e-05,0.00033,0.00029,0.00038,0.00153,4.87e-05,0.00391,0.00346,0.00258,0.133,0.113,0.207,0.532,0.0147,0.127,0.113,0.202,0.543,0.015,0.128,0.112,0.147,0.593,0.0189,0.388,0.338,0.557,1.67,0.0485,4.0,4.27,4.64,4.3,2.57,4.03,3.01,3.11,3.08,3.07,0.00332
R,0.00053,0.00042,0.00085,0.002,4.77e-05,0.00049,0.00038,0.00093,0.00229,4.36e-05,0.00022,0.00023,0.00027,0.00102,3.78e-05,0.00385,0.00413,0.00178,0.138,0.109,0.221,0.52,0.0124,0.119,0.0919,0.225,0.554,0.0105,0.124,0.129,0.152,0.574,0.0213,0.38,0.33,0.598,1.65,0.0442,3.77,4.67,4.64,4.36,2.35,3.78,3.0,3.7,2.87,3.19,0.00325
N1,0.00061,0.00051,0.0008,0.00231,5.59e-05,0.00055,0.00046,0.00078,0.00202,4.99e-05,0.00027,0.00027,0.00029,0.00111,3.98e-05,0.00429,0.00386,0.00198,0.142,0.119,0.187,0.539,0.013,0.142,0.119,0.202,0.523,0.0129,0.136,0.136,0.146,0.561,0.0201,0.421,0.375,0.535,1.62,0.0461,3.79,3.67,4.11,3.86,2.89,3.83,2.78,2.77,2.59,2.71,0.00338
N1,0.00053,0.00051,0.00075,0.00269,7.45e-05,0.00046,0.00048,0.00064,0.00224,7.07e-05,0.00027,0.00028,0.00027,0.00142,5.45e-05,0.00455,0.00389,0.00229,0.116,0.112,0.165,0.591,0.0164,0.118,0.123,0.164,0.576,0.0182,0.118,0.122,0.118,0.619,0.0238,0.352,0.357,0.447,1.79,0.0583,5.08,4.87,5.26,5.07,3.59,5.26,3.31,3.06,3.07,3.15,0.00358
R,0.00058,0.00053,0.00103,0.0336,8.7e-05,0.00049,0.00045,0.0009,0.0366,6.77e-05,0.00034,0.00033,0.00074,0.0522,6.27e-05,0.0358,0.0385,0.0536,0.0162,0.0148,0.0287,0.938,0.00243,0.0127,0.0117,0.0234,0.95,0.00176,0.00634,0.00615,0.0138,0.973,0.00117,0.0352,0.0326,0.0659,2.86,0.00536,57.9,74.7,153.0,95.4,32.6,70.5,31.2,39.9,79.0,50.0,0.0427
N1,0.00066,0.00076,0.00091,0.0157,0.00017,0.00052,0.00053,0.00077,0.0165,8.73e-05,0.00025,0.00026,0.00031,0.0149,4.75e-05,0.0182,0.0184,0.0158,0.0362,0.0417,0.05,0.863,0.00934,0.0282,0.0287,0.0417,0.897,0.00473,0.0158,0.0164,0.0196,0.945,0.003,0.0802,0.0869,0.111,2.7,0.0171,23.8,31.8,59.8,38.5,17.3,48.2,11.7,16.5,29.9,19.4,0.0175
R,0.00096,0.00059,0.00444,0.452,6e-05,0.0009,0.00054,0.00449,0.483,5.35e-05,0.00076,0.00043,0.00395,0.417,5.2e-05,0.458,0.489,0.422,0.00209,0.00129,0.00969,0.987,0.000131,0.00184,0.00111,0.00919,0.988,0.000109,0.0018,0.00102,0.00935,0.988,0.000123,0.00574,0.00341,0.0282,2.96,0.000364,471.0,536.0,549.0,519.0,102.0,106.0,295.0,338.0,354.0,329.0,0.456
R,0.00056,0.00044,0.00084,0.00165,4.03e-05,0.00046,0.00037,0.00071,0.00147,3.48e-05,0.00019,0.00017,0.00023,0.00082,2.49e-05,0.00353,0.00304,0.00143,0.159,0.125,0.238,0.467,0.0114,0.151,0.122,0.233,0.483,0.0114,0.132,0.118,0.16,0.571,0.0174,0.442,0.365,0.631,1.52,0.0402,2.95,3.2,4.32,3.49,1.96,3.57,2.49,2.63,2.92,2.68,0.00267
R,0.00078,0.00066,0.00171,0.0397,0.00011,0.00068,0.00061,0.00163,0.0412,0.00011,0.00049,0.00052,0.0012,0.0347,0.00013,0.043,0.0442,0.0371,0.0182,0.0154,0.0398,0.924,0.00256,0.0154,0.0138,0.0368,0.932,0.00249,0.0132,0.014,0.0324,0.937,0.00351,0.0467,0.0432,0.109,2.79,0.00856,50.9,60.6,70.8,60.8,23.2,28.9,28.8,33.2,35.6,32.5,0.0414
R,0.00056,0.0004,0.00093,0.00233,3.53e-05,0.00048,0.00033,0.00088,0.00237,2.89e-05,0.00015,0.00015,0.0002,0.0011,2.27e-05,0.00426,0.00409,0.00162,0.132,0.094,0.219,0.548,0.0083,0.117,0.0807,0.215,0.58,0.00707,0.0924,0.0924,0.123,0.678,0.014,0.341,0.267,0.557,1.81,0.0294,4.16,4.94,7.33,5.48,2.51,5.5,3.4,4.01,4.33,3.91,0.00332
R,0.0005,0.00036,0.00086,0.00279,3.48e-05,0.00041,0.0003,0.00078,0.00249,2.86e-05,0.00017,0.00017,0.0002,0.0011,2.38e-05,0.00454,0.00401,0.00166,0.11,0.0792,0.189,0.614,0.00766,0.102,0.0748,0.195,0.621,0.00713,0.102,0.102,0.12,0.661,0.0143,0.314,0.256,0.504,1.9,0.0291,5.58,6.07,6.47,6.04,3.24,5.5,4.24,4.61,3.82,4.22,0.00341
